# 請將你的表格資料（Time, Subtitle, Machine Translation）直接貼在下一行開始：


Time	Subtitle	Machine Translation
2:30	CZ, Zilveren Kruis, Mensis en VGZ.	CZ、Zilveren Kruis、Mensis 和 VGZ。
2:35	CZ verhoogt de prijzen het meest.	CZ漲價幅度最大。
2:38	Met 11%.	佔11%。
2:39	En Mensis het minst.	而門西斯最不重要。
2:42	Met 6%.	佔6%。
2:43	Sommige aanvullende verzekeringen stijgen zelfs wel met 50%.	一些補充保險的保費甚至上漲了50%。
2:49	Bij de vier grote zorgverzekeraars wordt deze verzekering 200 euro duurder per jaar.	在四大健康保險公司，這項保險每年將貴 200 歐元。
2:56	Dat is meer dan vorig jaar.	這比去年要多。
2:58	Toen betaalden we gemiddeld 75 euro meer.	那時候，我們平均要多付75歐元。
3:02	Nou, je eerste dag.	嗯，這是你的第一天。
3:05	Een belangrijke regel is dat de telefoon altijd voorgaat.	一個重要的原則是：手機永遠放在第一位。
3:10	Dus ook al ben je nog zo druk, maakt niet uit.	所以無論你有多忙，都沒關係。
3:13	Je neemt hem altijd op.	你總是會把它錄下來。
3:14	Als iemand de directeur wil spreken, dan verbind je niet meteen door.	如果有人想和導演通話，你不能立刻幫他們接通。
3:20	Je kijkt dan eerst in zijn agenda.	你先查看他的日程。
3:23	Ook vraag je waar het over gaat.	你還問它講的是什麼。
3:25	Als hij dan tijd heeft, dan toets je een 1.	如果他有時間，就按1。
3:28	Als er iemand belt voor de afdeling inkoop, die kun je dan meteen door verbinden.	如果有人打電話找採購部門，您可以立即幫他們接通。
3:33	Je toetst dan de 4.	然後按下 4。
3:35	Als Evelien pauze heeft, dan moet je ook voor haar de telefoon doen, opnemen en zo.	當伊芙琳休息的時候，你也得幫她接電話、拿電話什麼的。
3:43	Dan schrijf je de naam op van de beller en dan zeg je dat Evelien terugbelt.	然後你記下來電者的姓名，並告訴對方伊芙琳會回電。
3:48	Vergeet ook niet het telefoonnummer.	別忘了寫上電話號碼。
3:49	Olaf, mag ik iets vragen?	奧拉夫，我可以問你個問題嗎？
3:57	Natuurlijk.	自然。
3:58	Volgende les, maandag, moeten we die opdracht inleveren.	下週一上課的時候，我們必須交那份作業。
4:03	Maar ik ga dit weekend weg, dus dat lukt me niet.	但我這週末就要走了，所以去不了。
4:06	Mag ik de opdracht ook vrijdag inleveren?	我周五也可以交作業嗎？
4:10	Dat is wel wat laat.	有點晚了。
4:12	Woensdag anders?	週三的情況有所不同嗎？
4:15	Ja, dat lukt ook wel.	是的，那樣也可以。
4:17	Oké, mooi.	好的，不錯。
4:18	Wil je de opdracht dan mailen?	那您想透過電子郵件提交作業嗎？
4:21	Op woensdag werk ik thuis.	我星期三在家辦公。
4:24	Ik kan hem dus niet op school uit mijn postvakje halen.	所以我沒辦法從學校的信箱收到。
4:27	En met de post naar mijn huis sturen duurt wel lang.	而且郵寄到我家需要很長時間。
4:31	Oké.	好的。
4:33	Goedemiddag.	午安.
4:34	Hallo, ik heb een probleem.	你好，我遇到一個問題。
4:37	Ik heb geen pinpas meer.	我不再持有金融卡。
4:39	Wat is er met uw pinpas gebeurd?	你的金融卡怎麼了？
4:41	Is hij gestolen of niet meer geldig?	是被偷的還是已經過期了？
4:43	Nee, ik ben hem kwijt.	不，我把它弄丟了。
4:45	Oh, wanneer is dat gebeurd?	哦，那是什麼時候發生的？
4:47	Gisteren ging ik boodschappen doen, maar toen was hij weg.	昨天我去超市買東西，但他不在家。
4:52	Ik denk dus de dag voor gisteren.	所以我想應該是前天。
4:56	Maar ik kon pas vandaag hierheen komen.	但我今天只能來這裡。
4:59	Oké, heeft u uw pinpas al geblokkeerd?	好的，你已經掛失你的金融卡了嗎？
5:02	Dan krijgt u per post een nieuwe.	然後您將收到郵寄的新文件。
5:04	Ja, heb ik gedaan.	是的，我做了。
5:06	Goed.	好的。
5:07	Dan is alles geregeld.	然後一切就安排妥當了。
5:09	U kunt weer geld opnemen als u uw nieuwe pas heeft.	拿到新卡後，就可以再提款了。
5:12	Hey, Johan.	嘿，約翰。
5:22	Ken jij nog iemand die hier wil komen werken?	你認識其他想來這裡工作的人嗎？
5:25	Wat voor iemand?	什麼樣的人？
5:26	Nou ja, oud of jong.	無論老少。
5:28	Maakt niet uit.	沒關係。
5:29	En hij hoeft ook geen ervaring te hebben.	而且他也不需要任何經驗。
5:32	Iemand die vroeg op kan staan.	能早起的人。
5:34	Nou, mijn neef Lars misschien.	嗯，也許是我表弟拉爾斯。
5:36	Hoe vroeg moet hij dan beginnen?	那他得提前多久開始呢？
5:38	Nou ja, ik begin altijd al om vijf uur.	反正我總是五點開始工作。
5:41	Maar dat hoeft Lars nog niet hoor.	但拉爾斯現在還不必這麼做。
5:43	Hij moet dan om zes uur.	他必須在六點鐘到那裡。
5:46	En dan is hij rond twaalf uur klaar.	然後他大約十二點鐘就結束了。
5:49	Of heel soms om één uur.	或者在極少數情況下，在一點鐘。
5:51	Ik zal hem eens vragen.	我去問他。
5:54	Laat hem maar even bellen naar Esther.	讓他打個電話給艾絲特就行了。
5:58	Gisteren was het de drukste dag van het jaar op Schiphol Airport.	昨天是史基浦機場今年最繁忙的一天。
6:03	Er waren 1300 vluchten.	共有1300個航班。
6:06	Er waren ruim 170.000 passagiers op Schiphol.	史基浦機場有超過17萬名旅客。
6:10	Tegenover 180.000 op de drukste dag vorige zomer.	相比之下，去年夏天最繁忙的一天接待了 18 萬人。
6:14	Schiphol heeft extra personeel ingezet.	史基浦機場已增派人手。
6:17	Daarom waren de rijen voor het inchecken niet langer dan normaal.	因此，辦理登機手續的隊伍並沒有比平常更長。
6:21	Ook de rij bij de paspoortcontrole was niet langer.	護照檢查處的隊伍也不再排隊了。
6:25	Alleen op de parkeerplaats was het lastig om een plek te vinden.	唯一困難的地方就是停車場停車位不好找。
6:30	Alle reizigers kregen gisteren wel gratis ijs.	昨天所有旅客都獲得了免費冰淇淋。
6:34	Iisfabrikant Ola bestond 20 jaar en trakteerde.	冰淇淋製造商 Ola 慶祝成立 20 週年，並款待了所有人。
6:38	Een hele fijne traktatie op zo'n warme dag.	在這樣炎熱的日子裡，這真是一份令人愉悅的禮物。
6:47	Gefeliciteerd met je nieuwe baan.	恭喜你找到新工作。
6:49	Wel jammer dat je weggaat.	你要離開真是太可惜了。
6:52	Jeroen gaat jou vervangen.	傑倫將取代你。
6:54	Volgende week leg je het werk aan hem uit.	下週你要向他解釋這項工作。
6:57	Dan kun je deze week je eigen werk eerst afmaken.	這樣你這週就可以先完成自己的工作了。
7:00	Voordat je weggaat moet je alles opruimen.	離開前，請務必把所有東西都收拾乾淨。
7:03	Petra, kan je daarmee helpen?	佩特拉，你能幫忙嗎？
7:06	Je mag je werkkleding gewoon meenemen trouwens.	對了，你直接帶工作服就行了。
7:09	Maar natuurlijk moet je wel je sleutel inleveren.	當然，你必須交出鑰匙。
7:14	Dat moet op je laatste dag bij Irene.	你必須在艾琳餐廳的最後一天做這件事。
7:17	Heb je het al gehoord?	你聽說了嗎？
7:19	Anna stopt met werken hier.	安娜要辭掉這裡的工作了。
7:21	Huh?	嗯？
7:23	Nee?	不？
7:24	Waarom?	為什麼？
7:25	Ze gaat verhuizen.	她要搬家了。
7:27	Nu moet ze een nieuwe baan zoeken.	現在她不得不另找一份工作了。
7:29	Oh.	哦。
7:30	Wat jammer.	真丟臉。
7:33	Anna werkt altijd zo snel.	安娜工作總是很快。
7:34	Dat klopt.	這是正確的。
7:35	En ik vind haar ook heel vriendelijk.	而且我覺得她非常友善。
7:37	Ja.	是的。
7:38	Dat vind ik ook.	我也這麼認為。
7:41	Maar ze komt wel vaak te laat.	但她常常遲到。
7:43	Dat vind ik niet netjes.	我覺得這樣不太禮貌。
7:45	Ja.	是的。
7:46	Dat is waar.	這是真的。
7:47	Maar het is jammer dat ze weggaat.	但她要離開，真是太可惜了。
7:49	Ja.	是的。
7:50	Zeker.	當然。
7:52	Ik vind het ook niet leuk.	我也不喜歡。
7:56	Ja.	是的。
7:57	En dan nu het weerbericht voor de komende dagen.	接下來是未來幾天的天氣預報。
8:00	In het hele land koud en regenachtig weer.	全國各地天氣寒冷多雨。
8:03	Met vooral regen- en onweersbuien in het noorden van het land.	該國北部地區主要以降雨和雷暴天氣為主。
8:09	Maximum temperatuur ongeveer 13 graden.	最高溫度約13度。
8:12	Wat koud is voor deze tijd van het jaar.	這個季節來說，這溫度確實有點冷。
8:14	S'nachts kan het afkoelen tot 4 à 5 graden.	夜間氣溫會降至4至5度。
8:19	Op sommige plaatsen kan het zelfs een paar graden vriezen.	有些地方甚至可能會降到冰點以下。
8:23	De verwachting voor het weekend is...	週末天氣預報如下…
8:25	Ehm...	嗯…
8:26	Iets beter.	好多了。
8:28	In het zuiden van het land wordt het dan in de middag warmer dan 20 graden.	該國南部地區下午氣溫將升至20度以上。
8:33	Op zondag kan het wel in de avond op verschillende plaatsen gaan regenen.	週日晚上，部分地區可能會下雨。
8:36	Informatie over nieuwe cursussen.	新課程資訊。
8:45	Volgende week starten de nieuwe cursussen.	新課程下週開始。
8:49	De cursus Nederlands 3 zit bijna vol.	荷蘭語3級課程幾乎報滿了。
8:53	Er zijn nog twee plaatsen.	還有兩個空位。
8:56	Komt u om 1 uur naar lokaal 15 als u deze cursus wilt volgen.	如果你想選修這門課，請在下午1點到15號房間來。
9:02	Voor Nederlands 2 maken we een nieuwe groep.	我們正在為荷蘭語2建立一個新群組。
9:05	Daar zijn nog voldoende plaatsen.	還有很多空位。
9:08	U kunt zich hiervoor inschrijven om half 2 in lokaal 5.	您可以在下午 1:30 在 5 號房間登記。
9:14	Einde bericht.	訊息結束。
9:15	Nou, het is wel onhandig hè, dat onze straat is afgesloten.	哎，我們這條街被封鎖了，真是太不方便了，不是嗎？
9:22	Ja, dat wel.	是的，沒錯。
9:23	Maar ja, het is wel goed dat ze de weg weer helemaal mooi maken.	不過，他們把這條路重新美化，這的確是好事。
9:27	Er zaten zoveel gaten in.	它上面有很多洞。
9:29	Ja, maar er komt nog steeds geen nieuwe verlichting.	是的，但是仍然沒有新的照明設備。
9:33	En ook, ze maken niet eens nieuwe parkeerplaatsen.	而且，他們甚至沒有新建停車位。
9:36	Nou ja, ik vind het maar niks hoor.	嗯，我不太喜歡它。
9:37	Al dat gedoe.	真是麻煩死了。
9:38	Gelukkig is het maar tijdelijk.	幸運的是，這只是暫時的。
9:41	Volgende week gaat de straat weer open.	這條街將於下週重新開放。
9:43	Nee joh.	決不。
9:44	Die straat blijft dicht tot eind volgende maand.	那條街道將一直封閉到下個月底。
9:46	Hé?	嘿？
9:47	Maar dat duurt nog zes weken.	但這還需要六週。
9:50	Dat is wel lang zeg.	不得不說，這確實很長。
9:52	Ja.	是的。
9:52	Hé Roman, ja, had een bericht gestuurd waar het gemeentehuis precies was.	嘿，羅曼，是的，我發了一條訊息詢問市政廳的具體位置。
10:01	Nou, je bent er niet, dus ja, ik spreek het wel even in.	你不在，所以，嗯，我就錄下來吧。
10:05	Oké, vanaf jouw huis.	好的，在家操作。
10:08	Eerst moet je linksaf.	首先，你必須左轉。
10:09	En dan bij de Groene Brug ga je naar rechts.	然後到了綠橋，向右轉。
10:13	Dan een stukje rechtdoor.	然後向前直走一小段距離。
10:15	En bij de supermarkt ga je rechtsaf.	到超市後，向右轉。
10:17	Je weet wel hè?	你知道的，對吧？
10:19	Dan zie je aan de rechterkant een groot gebouw.	然後你會看到右邊有一棟大樓。
10:21	Dat is het nog niet.	還沒到那一步。
10:23	En daarachter staat een blauw gebouw.	在那棟大樓的後面，矗立著一棟藍色的建築。
10:25	Dat is hem wel.	就是那個。
10:27	En daar is links een parkeerplaats voor bezoekers.	左側設有訪客停車場。
10:31	Maar je kunt ook rechts de parkeergarage inrijden.	但你也可以開車進入右側的停車場。
10:36	Of aan de overkant van de weg parkeren.	或把車停在馬路對面。
10:38	Maar die parkeerplaats voor bezoekers, die is wel het handigste denk ik.	但我認為，訪客停車場是最方便的。
10:44	Hé, hallo Roberto.	嘿，你好，羅伯托。
10:46	Met Peter van Doorn.	與彼得·範·多恩合作。
10:48	Ik, eh, morgen kom je bij mij werken op de bouw.	呃，明天你要來建築工地跟我一起上班。
10:51	Op, eh, daar achter het station.	呃，就在車站後面那邊。
10:53	Hm?	嗯？
10:54	Morgen.	明天。
10:55	Mario, die woont vlak bij jou.	馬裡奧，他住得離你很近。
10:57	Die haalt jou daar morgen thuis op om, eh, kwart over zeven.	他明天早上七點一刻會到你家接你。
11:01	Je moet ook nog even, eh, wat dingetjes ophalen.	你還需要盡快，呃，拿幾樣東西。
11:04	Ja, kleding bedoel ik dan.	是的，我是指衣服。
11:06	Bij Ron in het magazijn.	在 Ron 的倉庫裡。
11:08	Daar kan je je werkkleding krijgen.	你可以在那裡買到工作服。
11:11	En, eh, werkschoenen.	還有，呃，工作鞋。
11:13	Die hebben we niet in het magazijn.	我們倉庫裡沒有那種東西。
11:15	Werkschoenen neem je dus zelf mee.	所以你需要自備工作鞋。
11:18	Oké.	好的。
11:19	Eh, Leroy heeft nog een helm en een veiligheidsbril voor jou.	呃，勒羅伊還留頭盔和護目鏡給你。
11:24	Eh, oh wacht even.	呃，哦，等一下。
11:25	Ik zie Leroy straks nog.	我稍後會見到勒羅伊。
11:27	Dan, eh, neem ik je helm en je bril wel voor je mee.	然後，呃，我會幫你拿頭盔和護目鏡。
11:30	Oké?	好的？
11:31	Tot morgen.	明天見。
11:35	Tjee.	哎呀。
11:37	Wordt een drukke tijd, hè, met al die examens.	考試那麼多，這段時間一定會很忙吧。
11:40	Vijf in totaal.	總共五個。
11:41	Hm, ja.	嗯，是的。
11:43	Volgende week hebben we alleen al drie examens.	下週我們就要考三門。
11:46	En de week daarna twee.	接下來一週又添了兩例。
11:49	Ik weet echt niet hoe ik dat allemaal moet leren.	我真的不知道該怎麼學這些東西。
11:52	Nou, weet je, zorg dat je eerst een goede planning maakt.	嗯，你知道，一定要先訂定一個好計畫。
11:56	Dat helpt voor mij altijd heel goed.	那對我的幫助總是很大。
11:58	Ja, dat is misschien wel handig, ja.	是的，那或許有用。
12:01	En als ik je dan nog een tip mag geven, dan ga gewoon leren in de bus en in de trein.	如果我能再給你一個建議，那就是在公車上和火車上學習。
12:07	Ik bedoel, die tijd ben je toch aan het wachten.	我的意思是，反正你也在等那個時候。
12:09	Dan kan je heel veel extra doen.	這樣你就可以做很多其他事情了。
12:11	Vooral als je zo vaak vertraging hebt.	尤其是在經常出現延誤的情況下。
12:13	Ja.	是的。
12:13	Dat is de goede, zeg.	那是好的那一個。
12:17	Dat ga ik doen.	我打算這麼做。
12:21	Oh, John, is hij weer kapot?	哦，約翰，它又壞了嗎？
12:23	Hij zit waarschijnlijk in papier vast.	他可能被困在紙張裡了。
12:27	Je zet hem eerst op pauze.	你先把它暫停了。
12:30	En dan kijk je waar het probleem zit.	然後你再看看問題出在哪裡。
12:32	En dat zie je hier op het plaatje.	你可以在圖片中看到這一點。
12:34	Dan open je de klep.	然後打開蓋子。
12:36	En dat papier, dat haal je dan uit.	然後把那張紙拿出來。
12:41	Zo, hier.	就在這裡。
12:43	En ja, nu moet hij het weer doen.	是的，現在他得再來一次。
12:45	Je drukt op de groene knop.	你按下綠色按鈕。
12:47	En ja hoor, nu doet hij het weer.	果然，現在又能用了。
12:50	Als het je niet lukt, hoef je zelf niet zo lang te proberen.	如果你不成功，你就不必自己嘗試那麼久。
12:52	Dan kan je altijd even iemand bellen.	那你隨時可以打個電話給某人。
12:54	Van de technische dienst.	來自技術部門。
12:56	Want ja, ik weet wel veel.	因為，嗯，我的確知道很多。
12:58	Maar niet alles.	但並非所有內容。
12:59	Ja, Gerrit's hier van Snackbar de Hoek.	是的，Gerrit 從 Snackbar de Hoek 來了。
13:04	Ik wil even wat bestellen.	我只是想點東西。
13:06	Ik wil graag zes dozen patat.	我要六盒薯條。
13:08	Niet van die dikke, die moet ik zelf dan nog snijden.	不是那種厚厚的；我得自己動手切。
13:10	Maar van die Franse, zeg maar, die dunne.	但那些法國的，或者說，那些薄薄的。
13:13	Een honderd frikandellen.	一百個炸肉丸。
13:14	En tweehonderd kroketten.	還有兩百個炸丸子。
13:16	En even kijken.	我們來看看。
13:18	Ook dertig flessen mayonaise.	還有三十瓶蛋黃醬。
13:20	En twintig ketchup.	還有二十份番茄醬。
13:22	En graag tien dozen cola blikjes.	再來十箱可樂罐裝飲料。
13:24	Maar dan niet van die zwarte, maar die grijze cola light.	但不是黑色的，而是灰色的健怡可樂。
13:27	En ja, bestelling gewoon naar de snackbar sturen.	是的，直接把訂單發到小點心就行了。
13:31	Maar de rekening wel naar mijn postadres sturen graag.	但請把帳單寄到我的郵寄地址。
13:34	Niet zoals de vorige keer naar mijn huisadres.	這次沒有像上次那樣寄到我家地址。
13:37	Want dat is veranderd.	因為情況已經改變了。
13:38	Dat was het.	事情就是這樣。
13:40	Bedankt.	謝謝。
13:43	Dag.	天。
13:45	Hai Roxana.	你好，羅克薩娜。
13:47	Ik heb een vraagje.	我有個問題想問一下。
13:49	Ik moet vandaag opeens werken.	我今天突然要上班了。
13:51	Een collega is ziek.	一位同事生病了。
13:54	Dus nu zit ik met Ashley.	所以現在我只能和艾許莉待在一起了。
13:55	Ze kan om twaalf uur bij Maaike een boterham eten.	她可以在中午十二點去Maaike's吃個三明治。
14:01	Dus ja, dat is al geregeld.	是的，這件事已經安排好了。
14:05	Kan Ashley dan na school met Lina spelen?	那麼艾希莉放學後可以和莉娜一起玩嗎？
14:09	En dat jij op Ashley kan passen.	而且你可以照顧好艾許莉。
14:12	Dan kom ik Ashley om vijf uur ophalen.	那我五點來接艾希莉。
14:15	Normaal moet ik tot half zes werken.	我通常要工作到五點過五分。
14:17	Maar ik mag vandaag een uurtje eerder weg.	但我今天可以提早一小時離開。
14:21	Kan dat dan vanmiddag?	那麼，今天下午可以完成嗎？
14:23	Anders kan ik het ook nog aan Pia vragen, hoor.	不然的話，我還可以問問皮婭，你知道的。
14:32	Goedemorgen, Jamal.	早上好，賈馬爾。
14:34	Ik zou vandaag om negen uur in de winkel zijn.	我今天早上九點應該到店裡。
14:38	Maar het wordt later.	但時間已經不早了。
14:40	Half twaalf.	十一點半。
14:41	Dus wil je wat doorgeven?	你想傳遞些什麼嗎？
14:44	Nou, vandaag komt Myrthe voor het eerst.	嗯，米爾特今天第一次來。
14:47	Dus help haar allemaal een beetje mee.	所以大家，幫幫她吧。
14:50	Ze komt om tien uur.	她十點鐘到。
14:53	Laat jij Myrthe zien waar alles staat en zo.	能帶米爾特看看東西都放在哪裡嗎？
14:56	En vraag dan aan Emma of ze wil uitleggen hoe de kassa werkt.	然後問艾瑪是否願意解釋一下收銀機的工作原理。
15:00	En René sluit vandaag af.	雷內今天的演講到此結束。
15:03	Om zes uur.	六點鐘。
15:04	Dus ja, dan kan René Myrthe meteen laten zien hoe dat moet.	所以，是的，雷內可以立即向米爾特展示如何做到這一點。
15:09	Afsluiten.	阻止。
15:09	Bedankt alvast.	提前致謝。
15:11	En tot straks.	再見。
15:14	Nou, Amir.	嗯，阿米爾。
15:17	Dit is de kantine.	這是食堂。
15:19	Die eten we altijd.	我們經常吃那個。
15:20	Vanaf half twaalf kun je hier broodjes kopen.	從上午11點半開始，你可以在這裡買到三明治。
15:26	Maar ja, voor twaalf uur luncht er eigenlijk niemand.	但話說回來，其實也沒人會在十二點前吃午餐。
15:30	De meeste collega's gaan pas om half één eten.	大多數同事要到十二點半才吃飯。
15:35	En dan tot één uur ongeveer.	然後一直持續到大約一點鐘。
15:39	Goed.	好的。
15:41	Als je koffie wilt.	如果你想喝咖啡。
15:43	Die kun je hier pakken.	你可以在這裡買到。
15:46	Oké.	好的。
15:47	En als de koffie op is, moet je één van de secretaresses roepen.	如果咖啡喝完了，你就得打電話給秘書。
15:51	Zij vullen de koffie bij.	他們正在續咖啡。
15:53	Hun kantoortje is hier op de begane grond, vlak bij de ingang.	他們的小辦公室就在一樓入口旁。
15:58	En...	和...
15:58	Ja.	是的。
16:00	Ze maken ook de vaatwasser leeg.	他們還會清空洗碗機。
16:02	Als die vol is.	如果滿了的話。
16:03	Nadat je hebt geluncht, moet je wel even je tafel schoonvegen.	午餐結束後，請務必將桌子擦乾淨。
16:08	Dat is wel zo netjes.	這只是禮貌而已。
16:10	Verder hoef je niks schoon te maken hoor.	除此之外，你不需要清潔任何東西。
16:13	Nou, ehm...	嗯…
16:15	Dit was dus de kantine.	這就是食堂。
16:17	Dan laat ik je nu je werkplek zien.	接下來我將帶您參觀您的工作區域。
16:19	Die is helemaal bovenin.	那個在最上面。
16:22	Op de tweede verdieping.	在二樓。
16:24	Dan lopen we meteen even langs de eerste verdieping.	那我們就順便去一樓看看。
16:27	Daar is mijn kantoortje.	那是我的小辦公室。
16:29	Dan weet je ook meteen waar dat is.	這樣你就能立刻知道它在哪裡了。
16:32	Goed.	好的。
16:33	Ga je mee?	你一起來嗎？
16:33	Hoi Helen, met Sergio.	嗨，海倫，我是塞爾吉奧。
16:42	Zeg, ik bel even over maandag.	我大概週一會打電話。
16:46	Over die excursie naar Amsterdam.	關於那次阿姆斯特丹之旅。
16:49	Goed, eh...	對，呃…
16:50	We gaan om half acht met de bus naar Amsterdam.	我們七點半搭巴士去阿姆斯特丹。
16:54	We moeten om, ja...	是的，我們必須改變方向…
16:55	al om kwart over zeven bij het cursuscentrum zijn.	請在七點一刻前到達課程中心。
17:00	We zijn rond half negen in Amsterdam, geloof ik.	我想我們大概八點半左右會到阿姆斯特丹。
17:04	Het wordt vast leuk.	肯定會很有趣。
17:06	Smiddags gaan we naar het Rijksmuseum.	下午我們要去國立博物館。
17:09	Daar heb ik echt zin in.	我非常期待。
17:12	Maar eerst gaan we een wandeling maken door de stad.	但首先，我們要去城裡散步。
17:15	Dan gaan we ook naar de grachten.	然後我們也會去運河邊。
17:17	En kunnen we naar alle boten kijken.	我們可以看看所有的船。
17:20	Eh...	呃…
17:21	Wat moet je nog meer weten?	您還需要了解什麼？
17:24	Oh ja, we krijgen een boekje mee.	哦，是的，我們會收到一本小冊子。
17:26	Met opdrachten.	有作業。
17:28	Die moeten we maken in Amsterdam.	我們需要在阿姆斯特丹製作這些。
17:31	Wij hebben al een boekje gekregen.	我們已經收到一本小冊子。
17:33	Maar jij en Nora nog niet.	但你和諾拉之間還沒有。
17:36	Jullie waren niet in de les vandaag.	你今天沒來上課。
17:39	Dus, eh...	所以，呃…
17:40	Jullie krijgen hem nog.	你還是會收到的。
17:41	Van onze docent.	來自我們的老師。
17:43	Nou, dat was het wel.	差不多就是這樣了。
17:45	Tot maandag.	週一見。
17:46	Doei.	再見。
17:51	Hier, Rico.	里科，給你。
17:52	Je schrijfopdracht.	你的寫作作業。
17:54	Oké.	好的。
17:55	Dank je wel.	謝謝。
17:56	Ja.	是的。
17:57	Je hebt bijna geen fouten gemaakt met de volgorde van de woorden.	你的字詞順序幾乎沒有出錯。
18:01	Heel goed.	非常好。
18:03	Soms maak je nog een foutje met de werkwoorden.	有時你還是會犯動詞使用錯誤。
18:06	Maar die hoef je ook nog niet allemaal te kennen.	但你現在不必全部都知道。
18:09	Alleen, eh...	只是，呃…
18:11	Ja.	是的。
18:11	Niet alle woorden zijn goed geschreven.	並非所有單字拼字都正確。
18:15	Kijk.	看。
18:16	Er zitten nog best veel spelfouten in.	裡面仍然有很多拼字錯誤。
18:19	Ja.	是的。
18:20	Ik zie het.	我看到了。
18:22	Oh.	哦。
18:23	Ik kon ook niet alle woorden vinden in mijn...	我也沒能在我的……中找到所有的單字。
18:27	Mijn woordenboek.	我的字典。
18:28	Oké.	好的。
18:29	Eh...	呃…
18:30	Misschien kan iemand je brief nog eens doorlezen.	或許有人可以再讀一遍你的信。
18:34	Als hij af is.	完成後。
18:36	Heb je dat aan iemand gevraagd?	你問過別人這個問題嗎？
18:38	Eh...	呃…
18:39	Nee.	不。
18:39	Oké.	好的。
18:41	Nou, je kunt de volgende keer je brief aan een medecursist geven.	下次你可以把信交給同學。
18:47	Eh...	呃…
18:49	Aan Melvin bijvoorbeeld.	例如對梅爾文來說。
18:51	Of iemand anders.	或其他人。
18:53	Die kan er dan nog fouten uithalen.	即使這樣，他仍然可以找出錯誤。
18:55	Hm.	嗯。
18:56	Oké.	好的。
